"category","fulfilment","order_count","total_sales","avg_order_value","sales_percentage_in_category"
"Blouse","Amazon","604","324999.0","522.5064308681672","77.68"
"Blouse","Merchant","176","93390.0","507.55434782608694","22.32"
"Bottom","Amazon","209","81386.0","366.60360360360363","60.08"
"Bottom","Merchant","146","54067.0","344.37579617834393","39.92"
"Dupatta","Amazon","2","915.0","305.0","100.0"
"Ethnic Dress","Amazon","754","553780.0","729.6179183135705","75.58"
"Ethnic Dress","Merchant","250","178964.0","704.5826771653543","24.42"
"Saree","Amazon","105","94769.0","796.3781512605042","82.63"
"Saree","Merchant","18","19925.0","830.2083333333334","17.37"
"Set","Amazon","29257","2.5706204E7","836.4909700302626","71.94"
